contest_number,image_url,human_description,top_caption_1,example
660,https://nextml.github.io/caption-contest-data/cartoons/660.jpg,"A doctor, wearing a lab coat and stethoscope, is reading from a clipboard while standing next to a patient who is dressed as a king, complete with a crown and a fur-lined robe. The king is sitting on an examination table, looking up at the doctor. The setting appears to be a typical doctor's office. The doctor is speaking.",Worse than a cold. It's a common cold.,"The caption plays on the double meaning of ""common"" to mean both ""commoner"" (as opposed to the king) and ""common cold"".
The caption mocks royal sensibilities-- despite ""common"" meaning mild, because the king dislikes ""common"" things, he's told it is worse."
661,https://nextml.github.io/caption-contest-data/cartoons/661.jpg,"In a whimsical scene, a woman resembling Snow White stands in a field, surrounded by seven dwarfs who are all joyfully roller-skating. The dwarfs are smiling and appear to be having a great time, while a distant castle is visible on a hill in the background. Snow White looks surprised and amused by the dwarfs' antics. Snow White is speaking.",Workplace morale hasn't been this high since we introduced whistling.,"""This refers to a musical number ""Whistle While You Work"" in the 1937 movie Snow White, involving animals joyfully working together. The characters in the cartoon are Snow White and the Seven Dwarfs, directly connecting to this reference.
The use of ""Workplace Morale"" juxtaposes the fairytale setting. The caption ""explains"" the rollerskates as a workplace morale booster, creating a humorous contrast."
662,https://nextml.github.io/caption-contest-data/cartoons/662.jpg,"A wedding ceremony is taking place, but the bride and groom are dressed as vikings, complete with animal skins, viking helmet, wrapped footwear, and one holding a spear while the other holds a sword. They stand under a decorated archway, facing a minister who is reading from a book. On the left, bridesmaids in traditional dresses hold bouquets, and on the right, groomsmen in tuxedos stand attentively. One of the bridesmaids is turned back, speaking to another bridesmaid.",It’s about time they settled down and razed a village.,"The caption uses wordplay with ""raze a village"" (as in, to burn down) with ""raise a family""."
663,https://nextml.github.io/caption-contest-data/cartoons/663.jpg,"A man and a woman stand in a kitchen, looking perplexed while holding open a pizza box on the table. Inside the box, on the center of the pizza, there is a miniature scene of two people sitting at a small table, having a meal with wine glasses. The miniature man is speaking up to the regular-sized couple. ","Well, you're not what we ordered, either.","The tiny person's comment implies that the regular sized person deemed the pizza ""not what we ordered"", and that it was taken as a personal insult."
664,https://nextml.github.io/caption-contest-data/cartoons/664.jpg,"In a courtroom, a judge leans forward, angrily speaking to a man dressed in a magician's outfit complete with a top hat and wand, who is seated in the witness stand. A woman stands nearby holding a document, observing the interaction. The scene is set with the American flag and another flag in the background, adding to the formal courtroom atmosphere. The judge is speaking.","""When was the last time you saw either half of her?",Connects the theme of limited visibility of a person to the court setting (a witness sees a victim) to the magic trick of sawing a person in half (seeing only one half at a time).
665,https://nextml.github.io/caption-contest-data/cartoons/665.jpg,"Two sharks are facing each other in the ocean. A person, visible only from the waist down, is standing on the back one of the sharks. They have a slightly bewildered expression. The shark carrying the person is speaking.",How about some help carrying the groceries?,"The Shark is implying that the person is the groceries, playing on the idea that sharks eat people."
666,https://nextml.github.io/caption-contest-data/cartoons/666.jpg,"In a black-and-white cartoon, a man in a suit is lying on a bright red, lip-shaped couch, presumably in a therapy session. He looks somewhat distressed as he looks up at a therapist, who is seated in a chair, attentively taking notes. There is a large window in the background. The patient in the couch is speaking.",Shouldn’t you be sitting in an ear?,"The therapist sitting in an ear would connect the furniture to their respective roles; The patient (in a mouth) is speaks, so the therapist listening would be in an ear."
667,https://nextml.github.io/caption-contest-data/cartoons/667.jpg,"Two mice are doing an IKEA-like assembly. However, what they’re assembling is a maze, akin to a lab setting. They are surrounded by various wooden panels, screws, and an Allen wrench. One mouse is holding an instruction sheet and speaking, while the other looks on, seemingly puzzled.",Let's just go with the open floor plan.,"Tearing down walls for an ""open floor plan"" is a trope in home rennovation shows.
An ""open floor plan"" maze would be easier for the mice, as they could bypass the maze and go right to the cheese."
668,https://nextml.github.io/caption-contest-data/cartoons/668.jpg,"A large dragon with a long, curving tail and wings is holding a small bouquet of flowers, looking somewhat shy or nervous. The dragon is standing outside a castle with a drawbridge, where a princess with a pointy hat peeks out from behind a partially open door, appearing cautious or surprised. The princess is speaking.",I’m sorry. I’ve been burned too many times.,"This plays on dual meanings of ""burn"", as in the literal act of burning, and the figurative act of being hurt."
669,https://nextml.github.io/caption-contest-data/cartoons/669.jpg,"A baby leans over the side of a crib to a microphone on a stand, as if ready to give a speech or perform. The crib has a block with letters. A mobile with boats and airplanes hangs above the crib. A teddy bear lies on the floor. In the background, a couple stands in the doorway, looking at the baby with expressions of surprise and curiosity. The woman is speaking with a smile.",I love his bedtime routine.,"This plays on dual meanings of ""routine"", as in a child's bedtime routine, and a comedian's standup routine."
